project,files,commits,first_date,last_date
astropy_astropy,3,3,2024-10-24T21:12:06+01:00,2024-12-23T12:49:23-08:00
beetbox_beets,1,1,2024-10-05T15:51:41+02:00,2024-10-05T15:51:41+02:00
bruvellu_cifonauta,1,1,2024-03-16T00:56:05-03:00,2024-03-16T00:56:05-03:00
ceph_teuthology,1,3,2024-09-24T16:32:26+05:30,2024-12-03T22:03:51+00:00
cython_cython,1,8,2024-02-26T11:33:07+01:00,2024-12-05T19:36:49+00:00
frappe_frappe,10,29,2022-08-19T11:41:50+05:30,2024-12-12T13:19:20+01:00
gaphor_gaphor,3,13,2023-12-08T22:16:25+00:00,2024-12-11T21:25:43-05:00
geekcomputers_python,5,16,2023-08-08T07:11:03+05:30,2024-12-21T22:21:34+03:00
getsentry_sentry,4,2,2024-11-01T11:50:29-07:00,2024-12-02T11:33:34+01:00
hasgeek_funnel,7,9,2024-03-12T14:11:12+05:30,2024-12-05T11:38:13+05:30
indico_indico,1,2,2024-11-11T13:48:47+00:00,2024-12-11T21:32:47+01:00
inducer_pymbolic,1,16,2022-11-09T09:03:57-06:00,2024-12-25T12:49:38-06:00
internetarchive_openlibrary,4,21,2023-03-30T17:09:19-04:00,2024-12-04T11:37:05-08:00
kliment_printrun,1,1,2023-04-13T17:13:57+02:00,2023-04-13T17:13:57+02:00
mitmproxy_mitmproxy,11,144,2010-02-16T17:09:07+13:00,2023-10-09T13:12:10+00:00
mopidy_mopidy,1,4,2024-07-07T01:14:59+02:00,2024-12-04T23:03:31+01:00
mozilla_kitsune,6,20,2023-05-01T12:28:28+03:00,2024-12-06T17:25:36+02:00
nixos_nixops,1,3,2023-12-17T12:34:18+01:00,2024-04-01T17:47:36+02:00
pandas-dev_pandas,1,5,2024-08-23T14:41:05-07:00,2024-12-27T09:21:12-05:00
payu-org_payu,1,2,2024-10-14T15:44:12+11:00,2024-11-18T12:09:22+11:00
pycqa_pycodestyle,2,26,2021-05-02T18:42:29+02:00,2024-12-24T00:26:08+00:00
scipy_scipy,2,9,2024-04-30T15:53:47-07:00,2024-12-27T10:59:58-06:00
shedskin_shedskin,2,16,2023-01-06T08:49:10+00:00,2024-11-11T20:09:08+01:00
