project,file,method,commit_insert,commit_insert_date,window_commit,window_commit_date,hunk_index,subject_expr,removed_if_count,added_case_count,before_lineno_min,after_lineno_min,code_before,code_after
astropy_astropy,astropy/coordinates/angles/formats.py,direct,124b0803b225284a6558dfc32cc6ab68d603203d,2024-10-18T16:59:07+02:00,124b0803b225284a6558dfc32cc6ab68d603203d,2024-10-18T16:59:07+02:00,4,,4,3,218,218,"-        def p_colon(p):
-            """"""
-            colon : UINT COLON ufloat
-                  | UINT COLON UINT COLON ufloat
-            """"""
-            if len(p) == 4:
-                p[0] = (p[1], p[3])
-            elif len(p) == 6:
-                p[0] = (p[1], p[3], p[5])
-
-        def p_spaced(p):
-            """"""
-            spaced : UINT ufloat
-                   | UINT UINT ufloat
-            """"""
-            if len(p) == 3:
-                p[0] = (p[1], p[2])
-            elif len(p) == 4:
-                p[0] = (p[1], p[2], p[3])
-
-            generic : colon
-                    | spaced
-                    | ufloat
-            p[0] = p[1]","+            generic : ufloat
+                    | UINT ufloat
+                    | UINT COLON ufloat
+                    | UINT UINT ufloat
+                    | UINT COLON UINT COLON ufloat
+            match p[1:]:
+                case [p1]:
+                    p[0] = p1
+                case [p1, p2] | [p1, "":"", p2]:
+                    p[0] = (p1, p2)
+                case [p1, p2, p3] | [p1, _, p2, _, p3]:
+                    p[0] = (p1, p2, p3)"
astropy_astropy,astropy/units/format/ogip.py,direct,89eaa1178c468c83a613898baa94eb848f3fba07,2024-09-27T18:18:43+02:00,89eaa1178c468c83a613898baa94eb848f3fba07,2024-09-27T18:18:43+02:00,4,list(p),6,3,223,236,"-            bad_function_message = (
-                ""The function '{}' is valid in OGIP, but not understood ""
-                ""by astropy.units.""
-            )
-                if p[1] == ""sqrt"":
-                    p[0] = p[3] ** (0.5 * p[6])
-                elif p[1] in cls._functions:
-                    raise ValueError(bad_function_message.format(p[1]))
-                else:
-                    raise ValueError(
-                        bad_multiplication_message.format(p[1], f""({p[3]})**{p[6]}"")
-                    )
-                if p[1] == ""sqrt"":
-                    p[0] = p[3] ** 0.5
-                elif p[1] in cls._functions:
-                    raise ValueError(bad_function_message.format(p[1]))
-                else:
-                    raise ValueError(
-                        bad_multiplication_message.format(p[1], f""({p[3]})"")
-                    )","+                raise ValueError(
+                    bad_multiplication_message.format(p[1], f""({p[3]})**{p[6]}"")
+                )
+                raise ValueError(bad_multiplication_message.format(p[1], f""({p[3]})""))
+        def p_function(p):
+            """"""
+            function : FUNCNAME OPEN_PAREN complete_expression CLOSE_PAREN
+                     | FUNCNAME OPEN_PAREN complete_expression CLOSE_PAREN power numeric_power
+            """"""
+            match list(p):
+                case [_, ""sqrt"", _, unit, _]:
+                    p[0] = unit**0.5
+                case [_, ""sqrt"", _, unit, _, _, numeric_power]:
+                    p[0] = unit ** (0.5 * numeric_power)
+                case [_, func, *_]:
+                    raise ValueError(
+                        f""The function '{func}' is valid in OGIP, but not understood ""
+                        ""by astropy.units.""
+                    )
+"
beetbox_beets,beetsplug/substitute.py,window,913d51af5cce3702a5ba0e04c41069f644a9fbfb,2024-10-05T15:51:41+02:00,ffdc3f73abb27b48e4fdcee7273f66f7f259c0d7,2024-10-14T22:54:38+02:00,1,self.config.get(),2,2,55,,"-        self.substitute_rules = []
-
-        if isinstance(self.config.get(), dict):
-            self._log.warning(
-                ""Unordered configuration is deprecated, as it leads to""
-                + "" unpredictable behaviour on overlapping rules.\n""
-                + textwrap.dedent(
-                    """"""
-                    Old syntax:
-                      substitute:
-                        a: b
-                        c: d
-
-                    New syntax:
-                      substitute:
-                      - a: b
-                      - c: d
-                    """"""
-                )
-            )
-            pairs = self.config.flatten().items()
-        else:
-            pairs = self.config.as_pairs()
-
-        for key, value in pairs:
-            pattern = re.compile(key, flags=re.IGNORECASE)
-            self.substitute_rules.append((pattern, value))","+        match self.config.get():
+            case list():
+                pairs = self.config.as_pairs()
+            case dict():
+                pairs = [
+                    (key, view.as_str()) for key, view in self.config.items()
+                ]
+                self._log.warning(
+                    ""Unordered configuration is deprecated, as it leads to""
+                    + "" unpredictable behaviour on overlapping rules.\n""
+                    + textwrap.dedent(
+                        """"""
+                        Old syntax:
+                          substitute:
+                            a: b
+                            c: d
+
+                        New syntax:
+                          substitute:
+                          - a: b
+                          - c: d
+                        """"""
+                    )
+                )
+        for key, value in pairs:"
frappe_frappe,frappe/api.py,direct,98dd7b0616692f2af2273da31c6e9c3d95ae89fd,2022-10-12T15:18:39+05:30,98dd7b0616692f2af2273da31c6e9c3d95ae89fd,2022-10-12T15:18:39+05:30,1,self.call,21,10,52,67,"-	if call == ""method"":
-		frappe.local.form_dict.cmd = doctype
-		return frappe.handler.handle()
-	elif call == ""resource"":
-		if ""run_method"" in frappe.local.form_dict:
-			method = frappe.local.form_dict.pop(""run_method"")
-			doc = frappe.get_doc(doctype, name)
-			doc.is_whitelisted(method)
-			if frappe.local.request.method == ""GET"":
-				if not doc.has_permission(""read""):
-					frappe.throw(_(""Not permitted""), frappe.PermissionError)
-				frappe.local.response.update({""data"": doc.run_method(method, **frappe.local.form_dict)})
-			if frappe.local.request.method == ""POST"":
-				if not doc.has_permission(""write""):
-					frappe.throw(_(""Not permitted""), frappe.PermissionError)
-				frappe.local.response.update({""data"": doc.run_method(method, **frappe.local.form_dict)})
-				frappe.db.commit()
-			if name:
-				if frappe.local.request.method == ""GET"":
-					doc = frappe.get_doc(doctype, name)
-					if not doc.has_permission(""read""):
-						raise frappe.PermissionError
-					frappe.local.response.update({""data"": doc})
-				if frappe.local.request.method == ""PUT"":
-					data = get_request_form_data()
-					doc = frappe.get_doc(doctype, name, for_update=True)
-					if ""flags"" in data:
-						del data[""flags""]
-					# Not checking permissions here because it's checked in doc.save
-					doc.update(data)
-					frappe.local.response.update({""data"": doc.save().as_dict()})
-					# check for child table doctype
-					if doc.get(""parenttype""):
-						frappe.get_doc(doc.parenttype, doc.parent).save()
-					frappe.db.commit()
-				if frappe.local.request.method == ""DELETE"":
-					# Not checking permissions here because it's checked in delete_doc
-					frappe.delete_doc(doctype, name, ignore_missing=False)
-					frappe.local.response.http_status_code = 202
-					frappe.local.response.message = ""ok""
-					frappe.db.commit()
-			elif doctype:
-				if frappe.local.request.method == ""GET"":
-					# set fields for frappe.get_list
-					if frappe.local.form_dict.get(""fields""):
-						frappe.local.form_dict[""fields""] = json.loads(frappe.local.form_dict[""fields""])
-					# set limit of records for frappe.get_list
-					frappe.local.form_dict.setdefault(
-						""limit_page_length"",
-						frappe.local.form_dict.limit or frappe.local.form_dict.limit_page_length or 20,
-					)
-					# convert strings to native types - only as_dict and debug accept bool
-					for param in [""as_dict"", ""debug""]:
-						param_val = frappe.local.form_dict.get(param)
-						if param_val is not None:
-							frappe.local.form_dict[param] = sbool(param_val)
-					# evaluate frappe.get_list
-					data = frappe.call(frappe.client.get_list, doctype, **frappe.local.form_dict)
-					# set frappe.get_list result to response
-					frappe.local.response.update({""data"": data})
-				if frappe.local.request.method == ""POST"":
-					# fetch data from from dict
-					data = get_request_form_data()
-					data.update({""doctype"": doctype})
-					# insert document from request data
-					doc = frappe.get_doc(data).insert()
-					# set response data
-					frappe.local.response.update({""data"": doc.as_dict()})
-					# commit for POST requests
-					frappe.db.commit()
-			else:
-				raise frappe.DoesNotExistError
-	else:
-		raise frappe.DoesNotExistError
-	return build_response(""json"")","+	return _RESTAPIHandler(call, doctype, name).get_response()
+class _RESTAPIHandler:
+	def __init__(self, call: Literal[""method"", ""resource""], doctype: str | None, name: str | None):
+		self.call = call
+		self.doctype = doctype
+		self.name = name
+
+	def get_response(self):
+		""""""Prepare and get response based on URL and form body.
+
+		Note: most methods of this class directly operate on the response local.
+		""""""
+		match self.call:
+			case ""method"":
+				return self.handle_method()
+			case ""resource"":
+				self.handle_resource()
+			case _:
+				raise frappe.DoesNotExistError
+		return build_response(""json"")
+	def handle_method(self):
+		frappe.local.form_dict.cmd = self.doctype
+		return frappe.handler.handle()
+	def handle_resource(self):
+		if self.doctype and self.name:
+			self.handle_document_resource()
+		elif self.doctype:
+			self.handle_doctype_resource()
+			raise frappe.DoesNotExistError
+
+	def handle_document_resource(self):
+		if ""run_method"" in frappe.local.form_dict:
+			self.execute_doc_method()
+			return
+
+		match frappe.local.request.method:
+			case ""GET"":
+				self.get_doc()
+			case ""PUT"":
+				self.update_doc()
+			case ""DELETE"":
+				self.delete_doc()
+			case _:
+				raise frappe.DoesNotExistError
+	def handle_doctype_resource(self):
+		match frappe.local.request.method:
+			case ""GET"":
+				self.get_doc_list()
+			case ""POST"":
+				self.create_doc()
+			case _:
+				raise frappe.DoesNotExistError
+	def execute_doc_method(self):
+		method = frappe.local.form_dict.pop(""run_method"")
+		doc = frappe.get_doc(self.doctype, self.name)
+		doc.is_whitelisted(method)
+		if frappe.local.request.method == ""GET"":
+			if not doc.has_permission(""read""):
+				frappe.throw(_(""Not permitted""), frappe.PermissionError)
+			frappe.local.response.update({""data"": doc.run_method(method, **frappe.local.form_dict)})
+		elif frappe.local.request.method == ""POST"":
+			if not doc.has_permission(""write""):
+				frappe.throw(_(""Not permitted""), frappe.PermissionError)
+			frappe.local.response.update({""data"": doc.run_method(method, **frappe.local.form_dict)})
+			frappe.db.commit()
+	def get_doc(self):
+		doc = frappe.get_doc(self.doctype, self.name)
+		if not doc.has_permission(""read""):
+			raise frappe.PermissionError
+		frappe.local.response.update({""data"": doc})
+	def update_doc(self):
+		data = get_request_form_data()
+		doc = frappe.get_doc(self.doctype, self.name, for_update=True)
+		if ""flags"" in data:
+			del data[""flags""]
+		# Not checking permissions here because it's checked in doc.save
+		doc.update(data)
+		frappe.local.response.update({""data"": doc.save().as_dict()})
+		# check for child table doctype
+		if doc.get(""parenttype""):
+			frappe.get_doc(doc.parenttype, doc.parent).save()
+		frappe.db.commit()
+	def delete_doc(self):
+		# Not checking permissions here because it's checked in delete_doc
+		frappe.delete_doc(self.doctype, self.name, ignore_missing=False)
+		frappe.local.response.http_status_code = 202
+		frappe.local.response.message = ""ok""
+		frappe.db.commit()
+	def get_doc_list(self):
+		if frappe.local.form_dict.get(""fields""):
+			frappe.local.form_dict[""fields""] = json.loads(frappe.local.form_dict[""fields""])
+		# set limit of records for frappe.get_list
+		frappe.local.form_dict.setdefault(
+			""limit_page_length"",
+			frappe.local.form_dict.limit or frappe.local.form_dict.limit_page_length or 20,
+		)
+		# convert strings to native types - only as_dict and debug accept bool
+		for param in [""as_dict"", ""debug""]:
+			param_val = frappe.local.form_dict.get(param)
+			if param_val is not None:
+				frappe.local.form_dict[param] = sbool(param_val)
+		# evaluate frappe.get_list
+		data = frappe.call(frappe.client.get_list, self.doctype, **frappe.local.form_dict)
+		# set frappe.get_list result to response
+		frappe.local.response.update({""data"": data})
+
+	def create_doc(self):
+		data = get_request_form_data()
+		data.update({""doctype"": self.doctype})
+
+		# insert document from request data
+		doc = frappe.get_doc(data).insert()
+
+		# set response data
+		frappe.local.response.update({""data"": doc.as_dict()})
+		# commit for POST requests
+		frappe.db.commit()"
frappe_frappe,frappe/commands/scheduler.py,direct,6b84c9ccf5fc3c389223f37cf4fb1865be430448,2023-02-10T14:38:50+05:30,6b84c9ccf5fc3c389223f37cf4fb1865be430448,2023-02-10T14:38:50+05:30,0,state,5,3,84,88,"-@click.argument(""state"", type=click.Choice([""pause"", ""resume"", ""disable"", ""enable""]))
-def scheduler(context, state, site=None):
-	if not site:
-		site = get_site(context)
-
-	try:
-		frappe.init(site=site)
-
-		if state == ""pause"":
-			update_site_config(""pause_scheduler"", 1)
-		elif state == ""resume"":
-			update_site_config(""pause_scheduler"", 0)
-		elif state == ""disable"":
-			frappe.connect()
-			frappe.utils.scheduler.disable_scheduler()
-			frappe.db.commit()
-		elif state == ""enable"":
-			frappe.connect()
-			frappe.utils.scheduler.enable_scheduler()
-			frappe.db.commit()
-	finally:
-		frappe.destroy()
-","+@click.argument(""state"", type=click.Choice([""pause"", ""resume"", ""disable"", ""enable"", ""status""]))
+def scheduler(context, state: str, site: str | None = None):
+	import frappe
+	site = site or get_site(context)
+
+	with frappe.init_site(site=site):
+		match state:
+			case ""status"":
+				frappe.connect()
+				status = ""disabled"" if frappe.utils.scheduler.is_scheduler_inactive(verbose=verbose) else ""enabled""
+				return print(output[format].format(status=status, site=site))
+			case ""pause"" | ""resume"":
+				update_site_config(""pause_scheduler"", state == ""pause"")
+			case ""enable"" | ""disable"":
+				frappe.connect()
+				frappe.utils.scheduler.toggle_scheduler(state == ""enable"")
+				frappe.db.commit()"
frappe_frappe,frappe/desk/form/load.py,direct,d20e436e0f49659a2ad3cb512c8386ac07884731,2023-09-18T11:16:20+05:30,d20e436e0f49659a2ad3cb512c8386ac07884731,2023-09-18T11:16:20+05:30,0,c.comment_type,7,7,156,156,"-		if c.comment_type == ""Comment"":
-			c.content = frappe.utils.markdown(c.content)
-			docinfo.comments.append(c)
-
-		elif c.comment_type in (""Shared"", ""Unshared""):
-			docinfo.shared.append(c)
-
-		elif c.comment_type in (""Assignment Completed"", ""Assigned""):
-			docinfo.assignment_logs.append(c)
-
-		elif c.comment_type in (""Attachment"", ""Attachment Removed""):
-			docinfo.attachment_logs.append(c)
-
-		elif c.comment_type in (""Info"", ""Edit"", ""Label""):
-			docinfo.info_logs.append(c)
-
-		elif c.comment_type == ""Like"":
-			docinfo.like_logs.append(c)
-
-		elif c.comment_type == ""Workflow"":
-			docinfo.workflow_logs.append(c)
-
-		frappe.utils.add_user_info(c.owner, docinfo.user_info)","+		match c.comment_type:
+			case ""Comment"":
+				c.content = frappe.utils.markdown(c.content)
+				docinfo.comments.append(c)
+			case ""Shared"" | ""Unshared"":
+				docinfo.shared.append(c)
+			case ""Assignment Completed"" | ""Assigned"":
+				docinfo.assignment_logs.append(c)
+			case ""Attachment"" | ""Attachment Removed"":
+				docinfo.attachment_logs.append(c)
+			case ""Info"" | ""Edit"" | ""Label"":
+				docinfo.info_logs.append(c)
+			case ""Like"":
+				docinfo.like_logs.append(c)
+			case ""Workflow"":
+				docinfo.workflow_logs.append(c)"
frappe_frappe,frappe/modules/utils.py,direct,526ff3b5769dd54cf8d3998c1f4fe63cb75b03ab,2024-04-11T18:04:30+05:30,526ff3b5769dd54cf8d3998c1f4fe63cb75b03ab,2024-04-11T18:04:30+05:30,0,custom_doctype,4,3,133,133,"-			if custom_doctype != ""Custom Field"":
-				frappe.db.delete(custom_doctype, {doctype_fieldname: doc_type})
-
-				for d in data[key]:
-					_insert(d)
-
-			else:
-				for d in data[key]:
-					field = frappe.db.get_value(""Custom Field"", {""dt"": doc_type, ""fieldname"": d[""fieldname""]})
-					if not field:
-						d[""owner""] = ""Administrator""
-					else:
-						custom_field = frappe.get_doc(""Custom Field"", field)
-						custom_field.flags.ignore_validate = True
-						custom_field.update(d)
-						custom_field.db_update()","+			match custom_doctype:
+				case ""Custom Field"":
+					for d in data[key]:
+						field = frappe.db.get_value(
+							""Custom Field"", {""dt"": doc_type, ""fieldname"": d[""fieldname""]}
+						)
+						if not field:
+							d[""owner""] = ""Administrator""
+							_insert(d)
+						else:
+							custom_field = frappe.get_doc(""Custom Field"", field)
+							custom_field.flags.ignore_validate = True
+							custom_field.update(d)
+							custom_field.db_update()
+				case ""Property Setter"":
+					# Property setter implement their own deduplication, we can just sync them as is
+					for d in data[key]:
+						if d.get(doctype_fieldname) == doc_type:
+							d[""doctype""] = custom_doctype
+							doc = frappe.get_doc(d)
+							doc.insert()
+				case ""Custom DocPerm"":
+					# Docperm have no ""sync"" as of now.
+					frappe.db.delete(""Custom DocPerm"", {""parent"": doc_type})
+
+					for d in data[key]:"
frappe_frappe,frappe/utils/data.py,direct,a88819230a8967cf50fde1d831f39771e44369d0,2022-08-16T10:53:28+05:30,a88819230a8967cf50fde1d831f39771e44369d0,2022-08-16T10:53:28+05:30,0,timespan,1,18,779,730,"-def get_timespan_date_range(timespan: str) -> tuple[datetime.datetime, datetime.datetime]:
-	date_range_map = {
-		""last week"": lambda: (
-			get_first_day_of_week(add_to_date(today, days=-7)),
-			get_last_day_of_week(add_to_date(today, days=-7)),
-		),
-		""last month"": lambda: (
-			get_first_day(add_to_date(today, months=-1)),
-			get_last_day(add_to_date(today, months=-1)),
-		),
-		""last quarter"": lambda: (
-			get_quarter_start(add_to_date(today, months=-3)),
-			get_quarter_ending(add_to_date(today, months=-3)),
-		),
-		""last 6 months"": lambda: (
-			get_quarter_start(add_to_date(today, months=-6)),
-			get_quarter_ending(add_to_date(today, months=-3)),
-		),
-		""last year"": lambda: (
-			get_year_start(add_to_date(today, years=-1)),
-			get_year_ending(add_to_date(today, years=-1)),
-		),
-		""yesterday"": lambda: (add_to_date(today, days=-1),) * 2,
-		""today"": lambda: (today, today),
-		""tomorrow"": lambda: (add_to_date(today, days=1),) * 2,
-		""this week"": lambda: (get_first_day_of_week(today), get_last_day_of_week(today)),
-		""this month"": lambda: (get_first_day(today), get_last_day(today)),
-		""this quarter"": lambda: (get_quarter_start(today), get_quarter_ending(today)),
-		""this year"": lambda: (get_year_start(today), get_year_ending(today)),
-		""next week"": lambda: (
-			get_first_day_of_week(add_to_date(today, days=7)),
-			get_last_day_of_week(add_to_date(today, days=7)),
-		),
-		""next month"": lambda: (
-			get_first_day(add_to_date(today, months=1)),
-			get_last_day(add_to_date(today, months=1)),
-		),
-		""next quarter"": lambda: (
-			get_quarter_start(add_to_date(today, months=3)),
-			get_quarter_ending(add_to_date(today, months=3)),
-		),
-		""next 6 months"": lambda: (
-			get_quarter_start(add_to_date(today, months=3)),
-			get_quarter_ending(add_to_date(today, months=6)),
-		),
-		""next year"": lambda: (
-			get_year_start(add_to_date(today, years=1)),
-			get_year_ending(add_to_date(today, years=1)),
-		),
-	}
-	if timespan in date_range_map:
-		return date_range_map[timespan]()","+def get_timespan_date_range(timespan: str) -> tuple[datetime.datetime, datetime.datetime] | None:
+	match timespan:
+		case ""last week"":
+			return (
+				get_first_day_of_week(add_to_date(today, days=-7)),
+				get_last_day_of_week(add_to_date(today, days=-7)),
+			)
+		case ""last month"":
+			return (
+				get_first_day(add_to_date(today, months=-1)),
+				get_last_day(add_to_date(today, months=-1)),
+			)
+		case ""last quarter"":
+			return (
+				get_quarter_start(add_to_date(today, months=-3)),
+				get_quarter_ending(add_to_date(today, months=-3)),
+			)
+		case ""last 6 months"":
+			return (
+				get_quarter_start(add_to_date(today, months=-6)),
+				get_quarter_ending(add_to_date(today, months=-3)),
+			)
+		case ""last year"":
+			return (
+				get_year_start(add_to_date(today, years=-1)),
+				get_year_ending(add_to_date(today, years=-1)),
+			)
+
+		case ""yesterday"":
+			return (add_to_date(today, days=-1),) * 2
+		case ""today"":
+			return (today, today)
+		case ""tomorrow"":
+			return (add_to_date(today, days=1),) * 2
+		case ""this week"":
+			return (get_first_day_of_week(today), get_last_day_of_week(today))
+		case ""this month"":
+			return (get_first_day(today), get_last_day(today))
+		case ""this quarter"":
+			return (get_quarter_start(today), get_quarter_ending(today))
+		case ""this year"":
+			return (get_year_start(today), get_year_ending(today))
+		case ""next week"":
+			return (
+				get_first_day_of_week(add_to_date(today, days=7)),
+				get_last_day_of_week(add_to_date(today, days=7)),
+			)
+		case ""next month"":
+			return (
+				get_first_day(add_to_date(today, months=1)),
+				get_last_day(add_to_date(today, months=1)),
+			)
+		case ""next quarter"":
+			return (
+				get_quarter_start(add_to_date(today, months=3)),
+				get_quarter_ending(add_to_date(today, months=3)),
+			)
+		case ""next 6 months"":
+			return (
+				get_quarter_start(add_to_date(today, months=3)),
+				get_quarter_ending(add_to_date(today, months=6)),
+			)
+		case ""next year"":
+			return (
+				get_year_start(add_to_date(today, years=1)),
+				get_year_ending(add_to_date(today, years=1)),
+			)
+		case _:
+			return"
frappe_frappe,frappe/utils/oauth.py,direct,d13c3778481b42aef8d3fa1de894cf5ef7e235ff,2022-12-27T19:25:43+05:30,d13c3778481b42aef8d3fa1de894cf5ef7e235ff,2022-12-27T19:25:43+05:30,7,provider,15,6,241,273,"-def update_oauth_user(user, data, provider):
-	if isinstance(data.get(""location""), dict):
-		data[""location""] = data.get(""location"").get(""name"")
-	save = False
-	if not frappe.db.exists(""User"", user):
-		# is signup disabled?
-		if frappe.utils.cint(frappe.db.get_single_value(""Website Settings"", ""disable_signup"")):
-			raise SignupDisabledError
-		save = True
-		user = frappe.new_doc(""User"")
-
-		gender = data.get(""gender"", """").title()
-
-		if gender and not frappe.db.exists(""Gender"", gender):
-			doc = frappe.new_doc(""Gender"", {""gender"": gender})
-			doc.insert(ignore_permissions=True)
-
-		user.update(
-			{
-				""doctype"": ""User"",
-				""first_name"": get_first_name(data),
-				""last_name"": get_last_name(data),
-				""email"": get_email(data),
-				""gender"": gender,
-				""enabled"": 1,
-				""new_password"": frappe.generate_hash(),
-				""location"": data.get(""location""),
-				""user_type"": ""Website User"",
-				""user_image"": data.get(""picture"") or data.get(""avatar_url""),
-			}
-		)
-	else:
-		user = frappe.get_doc(""User"", user)
-		if not user.enabled:
-			frappe.respond_as_web_page(_(""Not Allowed""), _(""User {0} is disabled"").format(user.email))
-			return False
-
-	if provider == ""facebook"" and not user.get_social_login_userid(provider):
-		save = True
-		user.set_social_login_userid(provider, userid=data[""id""], username=data.get(""username""))
-		user.update({""user_image"": ""https://graph.facebook.com/{id}/picture"".format(id=data[""id""])})
-
-	elif provider == ""google"" and not user.get_social_login_userid(provider):
-		save = True
-		user.set_social_login_userid(provider, userid=data[""id""])
-
-	elif provider == ""github"" and not user.get_social_login_userid(provider):
-		save = True
-		user.set_social_login_userid(provider, userid=data[""id""], username=data.get(""login""))
-
-	elif provider == ""frappe"" and not user.get_social_login_userid(provider):
-		save = True
-		user.set_social_login_userid(provider, userid=data[""sub""])
-
-	elif provider == ""office_365"" and not user.get_social_login_userid(provider):
-		save = True
-		user.set_social_login_userid(provider, userid=data[""sub""])
-
-	elif provider == ""salesforce"" and not user.get_social_login_userid(provider):
-		save = True
-		user.set_social_login_userid(provider, userid=""/"".join(data[""sub""].split(""/"")[-2:]))
-
-	elif not user.get_social_login_userid(provider):
-		save = True
-		user_id_property = frappe.db.get_value(""Social Login Key"", provider, ""user_id_property"") or ""sub""
-		user.set_social_login_userid(provider, userid=data[user_id_property])
-
-	if save:
-		# set default signup role as per Portal Settings
-		default_role = frappe.db.get_single_value(""Portal Settings"", ""default_role"")
-		if default_role:
-def get_first_name(data):
-def get_last_name(data):
-def get_email(data):
-def redirect_post_login(desk_user, redirect_to=None, provider=None):
-	# redirect!
-		# the #desktop is added to prevent a facebook redirect bug
-		redirect_to = desk_uri if desk_user else ""/me""
-		redirect_to = frappe.utils.get_url(redirect_to)","+def get_user_record(user: str, data: dict) -> ""User"":
+	try:
+		return frappe.get_doc(""User"", user)
+	except frappe.DoesNotExistError:
+		if frappe.get_website_settings(""disable_signup""):
+			raise SignupDisabledError
+	user: ""User"" = frappe.new_doc(""User"")
+	if gender := data.get(""gender"", """").title():
+		frappe.get_doc({""doctype"": ""Gender"", ""gender"": gender}).insert(
+			ignore_permissions=True, ignore_if_duplicate=True
+		)
+	user.update(
+		{
+			""doctype"": ""User"",
+			""first_name"": get_first_name(data),
+			""last_name"": get_last_name(data),
+			""email"": get_email(data),
+			""gender"": gender,
+			""enabled"": 1,
+			""new_password"": frappe.generate_hash(),
+			""location"": data.get(""location""),
+			""user_type"": ""Website User"",
+			""user_image"": data.get(""picture"") or data.get(""avatar_url""),
+		}
+	)
+	return user
+
+def update_oauth_user(user: str, data: dict, provider: str):
+	if isinstance(data.get(""location""), dict):
+		data[""location""] = data[""location""].get(""name"")
+
+	user: ""User"" = get_user_record(user, data)
+	update_user_record = user.is_new()
+
+	if not user.enabled:
+		frappe.respond_as_web_page(_(""Not Allowed""), _(""User {0} is disabled"").format(user.email))
+		return False
+
+	if not user.get_social_login_userid(provider):
+		update_user_record = True
+		match provider:
+			case ""facebook"":
+				user.set_social_login_userid(provider, userid=data[""id""], username=data.get(""username""))
+				user.update({""user_image"": f""https://graph.facebook.com/{data['id']}/picture""})
+			case ""google"":
+				user.set_social_login_userid(provider, userid=data[""id""])
+			case ""github"":
+				user.set_social_login_userid(provider, userid=data[""id""], username=data.get(""login""))
+			case ""frappe"" | ""office_365"":
+				user.set_social_login_userid(provider, userid=data[""sub""])
+			case ""salesforce"":
+				user.set_social_login_userid(provider, userid=""/"".join(data[""sub""].split(""/"")[-2:]))
+			case _:
+				user_id_property = (
+					frappe.db.get_value(""Social Login Key"", provider, ""user_id_property"") or ""sub""
+				)
+				user.set_social_login_userid(provider, userid=data[user_id_property])
+
+	if update_user_record:
+		if default_role := frappe.db.get_single_value(""Portal Settings"", ""default_role""):
+def get_first_name(data: dict) -> str:
+def get_last_name(data: dict) -> str:
+def get_email(data: dict) -> str:
+def redirect_post_login(desk_user: bool, redirect_to: str | None = None, provider: str = None):
+		redirect_to = frappe.utils.get_url(desk_uri if desk_user else ""/me"")"
frappe_frappe,frappe/utils/response.py,direct,411819ef81b5a9ab24bbbe0163e847e9802ee978,2023-10-16T18:13:50+05:30,411819ef81b5a9ab24bbbe0163e847e9802ee978,2023-10-16T18:13:50+05:30,3,get_api_version(),1,2,133,134,"-def make_logs(response=None):
-	# TODO: v2 API
-	if not response:
-		response = frappe.local.response","+def make_logs():
+
+	from frappe.api import ApiVersion, get_api_version
+
+	match get_api_version():
+		case ApiVersion.V1:
+			_make_logs_v1()
+		case ApiVersion.V2:
+			_make_logs_v2()
+
+
+def _make_logs_v1():
+	response = frappe.local.response"
