project,date,commit_hash,files,async_list_comprehensions,async_set_comprehensions,async_dict_comprehensions,async_generator_expressions,async_list_comprehensions_files,async_set_comprehensions_files,async_dict_comprehensions_files,async_generator_expressions_files,matrix_multiplication,matrix_multiplication_files,async_def,await_expressions,async_for,async_with,async_def_files,await_expressions_files,async_for_files,async_with_files,fstring,fstring_files,except_star,except_star_files,pattern_match,pattern_as,pattern_or,pattern_sequence,pattern_mapping,pattern_class,pattern_value,pattern_singleton,pattern_star,pattern_match_files,pattern_as_files,pattern_or_files,pattern_sequence_files,pattern_mapping_files,pattern_class_files,pattern_value_files,pattern_singleton_files,pattern_star_files,assign_unpack,list_unpack,tuple_unpack,set_unpack,dict_unpack,call_kwargs_unpack,call_args_unpack,assign_unpack_files,list_unpack_files,tuple_unpack_files,set_unpack_files,dict_unpack_files,call_kwargs_unpack_files,call_args_unpack_files,nonlocal,nonlocal_files,function_args_annotation,function_return_annotation,function_args_annotation_files,function_return_annotation_files,function_with_annotation,function_with_annotation_files,function_without_annotation,function_without_annotation_files,kw_defaults,kw_args,kw_defaults_files,kw_args_files,type_vars_bounds,type_vars_constraints,type_param_spec,type_var_tuple,type_vars_bounds_files,type_vars_constraints_files,type_param_spec_files,type_var_tuple_files,yield_from,yield_from_files,assignment_expression,assignment_expression_files,variable_annotation,variable_annotation_files,assign,assign_files,assign_with_type_comment,assign_with_type_comment_files,aug_assign,aug_assign_files,suppressing_exception_context,suppressing_exception_context_files,statements,errors
enthought_apptools,2008-01-07,6573b848e837725b557c6f803e4709922fb092ff,0,0
enthought_apptools,2008-02-06,2cdc6071889e4d7eb62244a1acd0b70ce7d1adbf,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3193,294,0,0,74,17,0,0,9481,69
enthought_apptools,2008-03-07,5e55d1dd3cef8a0f0ed65d8006e38947e25003cd,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005,206,0,0,73,18,0,0,9042,72
enthought_apptools,2008-04-08,0ba4dc293f8f9162b0001f230b4ba17530b39e4c,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,164,0,0,22,12,0,0,7629,44
enthought_apptools,2008-05-08,9aad2334bdb6b5a1caac1cfe47a6af4146a6f169,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,163,0,0,22,12,0,0,7677,44
enthought_apptools,2008-06-09,44e6537037c942eafd802a9bc9a6e7524ed224ae,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877,164,0,0,22,12,0,0,7766,44
enthought_apptools,2008-07-09,9dc8eea702ee8463e005d0c7c528dd532f6744a3,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,221,0,0,37,19,0,0,9323,66
enthought_apptools,2008-08-11,bfd7b963d29be4d7b6df204b41191ed942cff644,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,168,0,0,23,13,0,0,7931,46
enthought_apptools,2008-09-10,c2c551330b00231bb143197aea2f799a903baf07,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250,237,0,0,40,22,0,0,10274,70
enthought_apptools,2008-10-10,31f5a4baf91f8e224f07779aa56befc5dc0aa380,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,178,0,0,23,14,0,0,8430,48
enthought_apptools,2008-11-11,2aacb65d8462d99872004872f8b9cb8792d02f7f,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3714,270,0,0,38,21,0,0,11042,76
enthought_apptools,2008-12-22,eda04425230ceec8e335266204cf9090c15d7efb,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,271,0,0,38,21,0,0,10936,77
enthought_apptools,2009-01-23,d072a4d464f81ae2f9ced6dce8e828388ddb1394,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,269,0,0,38,20,0,0,10941,77
enthought_apptools,2009-02-23,2c0b46bb1f9a556b3845542332d888edcaadead2,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,267,0,0,38,21,0,0,10939,77
enthought_apptools,2009-03-27,7aa7f8ee2e82c4e10f3ce40d2e6e325b5aa0c317,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,269,0,0,38,21,0,0,10959,77
enthought_apptools,2009-05-08,0ab2c1e3bdb7a5e26a139ed6a20c136336662fd1,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3703,271,0,0,38,21,0,0,10978,77
enthought_apptools,2009-06-09,da53ef08dedb34a5b9e7e303a667f784d2c4f048,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3703,271,0,0,38,21,0,0,10978,77
enthought_apptools,2009-07-13,bfc51c97afc01079e11f0bbbd2f34866db8be5c7,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,188,0,0,22,13,0,0,9296,49
enthought_apptools,2009-08-12,b627d9d82d6657285d9deb59ce9a4e1721e73370,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2480,191,0,0,22,14,0,0,9316,49
enthought_apptools,2009-09-27,5334ac72ad32a5a6dcb64a30c95b338dd452afea,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,191,0,0,24,15,0,0,9435,49
enthought_apptools,2009-11-06,158ad42f7807176089f765f7a547418449f5463a,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3816,276,0,0,48,24,0,0,11387,78
enthought_apptools,2009-12-09,ed5117364af3871145eb6ed26297b98fc3293e65,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3817,274,0,0,48,24,0,0,11388,78
enthought_apptools,2010-01-13,6238b9eb46e6c58b493fbae7631d76bc2cec2e88,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,65,0,0,9,5,0,0,2827,20
enthought_apptools,2010-02-12,6ea445c16161818c5c46670575ed1325c19723f3,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3766,274,0,0,44,22,0,0,11234,78
enthought_apptools,2010-03-23,4e120e94e4cdfe757d7adee4dc2c3ab6cd949fdc,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3790,274,0,0,46,24,0,0,11327,78
enthought_apptools,2010-05-05,032952930a62b7abe8e69ab171c5840b3f21d7e4,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794,276,0,0,46,25,0,0,11338,78
enthought_apptools,2010-06-15,fee0d3b223a53bd7883562db454733bad68aa17f,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,65,0,0,9,5,0,0,2828,23
enthought_apptools,2010-07-19,b3278a6aafadae99cfa75a4df8d5508505c8b90d,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,65,0,0,9,5,0,0,2828,23
enthought_apptools,2010-08-31,211062861b09e3ff9fe76e6d0077f2208f973374,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386,188,0,0,24,15,0,0,9113,51
enthought_apptools,2010-10-01,fad9e3e7de6fc30fa0f7961993dacef2f8992e89,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3790,275,0,0,46,24,0,0,11315,79
enthought_apptools,2010-11-01,6b66d65bd0b7487eae740e9ad454d3fc0a632df5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,66,0,0,9,5,0,0,2880,23
enthought_apptools,2010-12-19,7138b8020a804fbb1ede14b7db35cf1e7e45aea2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,66,0,0,9,5,0,0,2880,23
enthought_apptools,2011-01-18,3b25d5bb645ab21f8820b37886b52ffd479f4b3a,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,66,0,0,9,5,0,0,2880,24
