project,date,commit_hash,files,async_list_comprehensions,async_set_comprehensions,async_dict_comprehensions,async_generator_expressions,async_list_comprehensions_files,async_set_comprehensions_files,async_dict_comprehensions_files,async_generator_expressions_files,matrix_multiplication,matrix_multiplication_files,async_def,await_expressions,async_for,async_with,async_def_files,await_expressions_files,async_for_files,async_with_files,fstring,fstring_files,except_star,except_star_with_group,except_star_without_group,raised_exception_group,caught_exception_group,exception_groups,except_star_files,exception_group_files,pattern_match,pattern_as,pattern_or,pattern_sequence,pattern_mapping,pattern_class,pattern_value,pattern_singleton,pattern_star,pattern_match_files,pattern_as_files,pattern_or_files,pattern_sequence_files,pattern_mapping_files,pattern_class_files,pattern_value_files,pattern_singleton_files,pattern_star_files,assign_unpack,list_unpack,tuple_unpack,set_unpack,dict_unpack,call_kwargs_unpack,call_args_unpack,assign_unpack_files,list_unpack_files,tuple_unpack_files,set_unpack_files,dict_unpack_files,call_kwargs_unpack_files,call_args_unpack_files,nonlocal,nonlocal_files,function_args_annotation,function_return_annotation,function_args_annotation_files,function_return_annotation_files,function_with_annotation,function_with_annotation_files,function_without_annotation,function_without_annotation_files,kw_defaults,kw_args,kw_defaults_files,kw_args_files,type_vars_bounds,type_vars_constraints,type_param_spec,type_var_tuple,type_vars_bounds_files,type_vars_constraints_files,type_param_spec_files,type_var_tuple_files,yield_from,yield_from_files,assignment_expression,assignment_expression_files,variable_annotation,variable_annotation_files,assign,assign_files,assign_with_type_comment,assign_with_type_comment_files,aug_assign,aug_assign_files,suppressing_exception_context,suppressing_exception_context_files,statements,errors
scrapy_scrapy,2009-05-04,5c13be380afe5829b456197c01a611d7f204b3a8,0,0
scrapy_scrapy,2009-06-04,6524def4b8e6d46037a6b5f4020490826fffde1d,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2439,165,0,0,188,16,0,0,8446,45
scrapy_scrapy,2009-07-06,2ce43ebbec5b16ea3d56ece8c6e34e2b47de8c22,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,164,0,0,188,16,0,0,8239,47
scrapy_scrapy,2009-08-05,a23ff3705063df065b1c7685a0aef74bbb8660bc,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377,168,0,0,187,23,0,0,8356,44
scrapy_scrapy,2009-09-04,86de5180fcb1be576dcb44ce4ca072e8a719fbdb,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177,156,0,0,186,21,0,0,7720,37
scrapy_scrapy,2009-10-05,8aa7d153ae0938539654bdfba3b4edcc23c34d81,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298,168,0,0,157,22,0,0,8050,37
scrapy_scrapy,2009-11-04,87e322e568036cbe50f7f57680569cae822b21ae,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2388,173,0,0,154,21,0,0,8275,38
scrapy_scrapy,2009-12-04,4ecc909bc1af3148414f4e4a187df2b68ccd8ee5,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2268,166,0,0,157,22,0,0,7928,37
scrapy_scrapy,2010-01-11,7bbc14dd1523ba6e9267396b8555ef063ce8aa26,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,173,0,0,154,21,0,0,8197,39
scrapy_scrapy,2010-02-18,91f4d6dc5105b187bc7a6a3b00581e7d5c839fe8,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367,174,0,0,154,22,0,0,8224,39
