project,date,commit_hash,files,async_list_comprehensions,async_set_comprehensions,async_dict_comprehensions,async_generator_expressions,async_list_comprehensions_files,async_set_comprehensions_files,async_dict_comprehensions_files,async_generator_expressions_files,matrix_multiplication,matrix_multiplication_files,async_def,await_expressions,async_for,async_with,async_def_files,await_expressions_files,async_for_files,async_with_files,fstring,fstring_files,except_star,except_star_files,pattern_match,pattern_as,pattern_or,pattern_sequence,pattern_mapping,pattern_class,pattern_value,pattern_singleton,pattern_star,pattern_match_files,pattern_as_files,pattern_or_files,pattern_sequence_files,pattern_mapping_files,pattern_class_files,pattern_value_files,pattern_singleton_files,pattern_star_files,assign_unpack,list_unpack,tuple_unpack,set_unpack,dict_unpack,call_kwargs_unpack,call_args_unpack,assign_unpack_files,list_unpack_files,tuple_unpack_files,set_unpack_files,dict_unpack_files,call_kwargs_unpack_files,call_args_unpack_files,nonlocal,nonlocal_files,function_args_annotation,function_return_annotation,function_args_annotation_files,function_return_annotation_files,function_with_annotation,function_with_annotation_files,function_without_annotation,function_without_annotation_files,kw_defaults,kw_args,kw_defaults_files,kw_args_files,type_vars_bounds,type_vars_constraints,type_param_spec,type_var_tuple,type_vars_bounds_files,type_vars_constraints_files,type_param_spec_files,type_var_tuple_files,yield_from,yield_from_files,assignment_expression,assignment_expression_files,variable_annotation,variable_annotation_files,assign,assign_files,assign_with_type_comment,assign_with_type_comment_files,aug_assign,aug_assign_files,suppressing_exception_context,suppressing_exception_context_files,statements,errors
tomerfiliba-org_rpyc,2009-09-21,596b91a045db0ccf49ba5310771b09e6edffb2d3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,23,0,0,9,5,0,0,1657,22
tomerfiliba-org_rpyc,2010-08-11,a28b882990e1fa63d43646b2ba85848afb562d02,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,23,0,0,9,5,0,0,1662,22
tomerfiliba-org_rpyc,2011-03-02,7eb48a4e0642e8fe29b9134e19d5090d406375a3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,23,0,0,9,5,0,0,1657,22
tomerfiliba-org_rpyc,2011-04-14,02e63d5ce0959b5777c12badf373c87eab13fd81,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,39,0,0,9,6,0,0,3078,15
tomerfiliba-org_rpyc,2011-05-24,621afe988f4a12ea3385d7a21ec0ad8c37be4331,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,38,0,0,9,6,0,0,2915,16
tomerfiliba-org_rpyc,2011-06-26,7d96defe5c1190f658af498004c772a5e1de7fdf,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,42,0,0,16,7,0,0,3138,17
tomerfiliba-org_rpyc,2011-07-26,0596c5e01824a826de250b12ed955c774eedf1a3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,41,0,0,16,7,0,0,3033,16
tomerfiliba-org_rpyc,2011-08-28,f0312c2da23cb03de8e779a2b9ba8b068922b25f,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,42,0,0,16,7,0,0,3095,16
tomerfiliba-org_rpyc,2011-09-30,bd92b6cfd0d0d55771f92b8f3756d315df7eee68,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,43,0,0,17,7,0,0,3106,14
tomerfiliba-org_rpyc,2011-11-11,0b12e18918dcdb74d4b74d77759e075c473d81db,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,43,0,0,17,6,0,0,3115,14
tomerfiliba-org_rpyc,2012-01-07,db8583145eaaf71ee4fc6e585bd3348aa53f3675,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,43,0,0,17,6,0,0,3139,14
tomerfiliba-org_rpyc,2012-02-13,380b72655ba636460b1bea8a1958ab36ff9d1664,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,43,0,0,17,6,0,0,3139,14
tomerfiliba-org_rpyc,2012-03-15,07036df32ca4b352bc22d7ac4511945c10cad7c3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,43,0,0,18,6,0,0,3160,16
tomerfiliba-org_rpyc,2012-04-19,bb3372cd59741992c616488a96803072a2deee6c,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,43,0,0,18,6,0,0,3162,16
tomerfiliba-org_rpyc,2012-05-20,28da8acc6f4f4c8bd871d58a6f19193e52c1eb72,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,43,0,0,18,6,0,0,3168,16
