Merge finished: results.csv
Writed lines: 46349
Lost lines: 322
['mavlink_mavlink', '2012-01-09', 'c0d4644e94efdb215b6edfbfc35dd24c45813005', '0', '0']
['mekkablue_glyphs-scripts', '2012-01-09', '942588db173f54a94ad68a09e5dbc142c93fb644', '9', '9']
['4am-robotics_cob_command_tools', '2017-06-28', '8e747d2bc6b9fe6b201598b776c256b1062536e2', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-01-01', 'd79f3a98bec67bb6fa861a9cf8ccc95bc193ada1', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-01-31', '8e61277799cf3c2a2c8cafbd172c33ce77e9e104', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-03-01', '679e92d885c5343b81ccbba12ce3fc8bdc9678b2', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-04-06', '90e2e678ae2d89af82d8bb476e1bd58062814e12', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-05-12', 'af7e6752a1ee6bf14c6a44270ecf01d2bbc76d92', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-06-22', '53ac610af0bd0b7fa0b5400b3b979ff88956ec26', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-07-24', '93f6fddebca5227b5decacedd235b05d3604fbea', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-08-24', 'ef37d63b9916fa62a1537188f2a826363e903bf1', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-09-25', 'ecfdc1cd74bf9962fa0fbceb2ac2896802be07b9', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-10-26', 'a07105b5d541fb83190f058551e63f8de6c07529', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2012-11-29', '48e4f634abfe6e799cd39942a70fb23a4077e787', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-01-02', 'ffa006074adc84a0e36e73e742f9313ae1964ffc', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-02-11', 'c5ecaa5ae2601cfd08c4fea2e107ba1fcf10b834', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-03-15', '02cb2d010dfc045a716e9976cb0fd63c8d6231b1', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-04-17', '6b38f7fdd9b004762b41dd1243f400ff252603ae', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-05-17', '0248c9aa9f1f1e66694b4c5bf67a9ca73f30fe16', '0', '0']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-06-16', '6c9197384f107869d028849e3bbeb4ee5f26b066', '2', '2']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-07-17', '52d67a32284194b1c26561bbcacdf9ee98f2eb10', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-08-16', '23f7c4f2741f514189186e2dad9f8d85d3696e2d', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-09-15', 'effa6fef5cc39d7fc25747cf4a7da21737d0d1d0', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-10-22', '66a016a23b2731ca9c8dfae99c837c28832fba9f', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-11-22', 'e236b9879e22a502236e5ca7fd94273dc0d0b0fc', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2013-12-30', 'ed390715a1758be607c6f57fce460689f53608e0', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2014-01-29', '35b38a57c766bcb3db9e4c2366906c718befb77b', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2014-03-02', '9a11ecb4ee0994439cf81efdcf34ae761c179d85', '3', '3']
