project,files,blank_lines,comments,code_lines
slapos.core,784,14663,17200,74407
kninfra,137,2000,1171,9609
nova,1380,79467,98916,392358
ihatemoney,39,1503,1144,7513
acoustid-server,92,1979,880,14667
tron,148,5967,2460,29058
splunk-sdk-python,84,4546,6126,11152
shinken,342,12086,18662,44284
pyzotero,7,343,759,2083
plone.app.multilingual,63,1503,1125,5952
pyinstaller,706,11162,20466,39963
fail2ban,83,3869,7140,23012
dd-agent,146,5469,4717,23291
codespell,7,342,357,2547
djblets,413,19442,26222,46866
gspread,17,2278,2870,5640
satchless,9,282,168,662
s3-tests,21,5193,1571,19607
icalendar,75,2139,2479,7977
django-crispy-forms,25,1187,1885,3081
supervisor,69,5077,3709,28610
tg2,144,5201,3453,15265
beaker,488,15393,23625,80807
behave,232,7607,11744,25062
rpyc,85,1888,1739,6568
osc,194,6956,6074,31082
matplotlib,979,45250,74175,152253
nilearn,366,23135,36337,71651
sopel,125,10507,10775,25944
gensim,165,11417,23217,27760
seleniumlibrary,115,2397,3298,9003
plone.app.layout,45,1098,839,4510
dulwich,117,8040,9294,36007
headphones,961,42108,57551,197827
indico,1171,26014,21472,105294
dirac,1256,43774,50464,168433
pytrainer,114,2448,3504,14480
mongo-python-driver,326,22345,26513,95936
django-debug-toolbar,85,1584,1235,6676
jsonpickle,43,2188,1823,6657
django-pipeline,50,813,590,3243
binarybuilder,6,727,1160,2942
amitools,432,7211,4954,43485
pol-pom-4,26,1189,313,5082
django-money,54,1149,684,3531
pyfirebirdsql,42,1166,1163,10888
django-lfs,259,7762,5681,28578
traits,341,14924,17560,35027
fpdb-chaz,122,6440,16195,35367
django-imagekit,50,840,686,2009
mitmproxy,546,13227,7843,66953
scikit-image,522,19655,35962,59381
frappe,1019,31198,15136,110487
redbot,26,686,579,3494
sumpy,43,4268,3797,11518
ride,574,18476,22203,67168
ccm,19,1560,829,6452
gaphor,575,15196,4049,46380
advene,188,10213,16770,49153
payu,92,3813,3132,10864
pytables,185,16950,17899,58511
django-reversion,33,787,396,2827
jcvi,197,15009,10421,61594
sunpy,414,14825,21444,38505
packagedev,34,1224,1888,3814
pymysql,41,1300,1306,6518
nibabel,246,10193,19980,39183
tools_repo,80,4123,8574,16266
psychopy,706,34222,64785,134082
brickv,691,39013,37684,120116
kupfer,260,12967,9968,40989
django-page-cms,74,1602,1461,5706
mozregression,88,2572,1784,10296
flexget,600,17633,16747,74530
flydra,149,7072,4725,33764
dipy,445,23501,41098,76683
winterpy,117,1673,1011,8975
hasjob,145,2146,1587,12504
nixops,55,1580,1067,6955
locust,118,5368,3192,21695
pymc,204,15026,18753,55924
tweepy,55,3074,8847,5948
theharvester,64,717,533,4946
pytest-django,38,1411,1648,3752
trash-cli,336,3035,254,9730
nitime,83,5300,7989,9087
horizon,886,23513,21515,99318
genshi,56,3308,6307,14385
eden,736,78990,136915,532880
slapos,265,6136,9399,32803
statsmodels,1055,66584,120043,237795
dotfiles,5,121,45,751
alot,100,2885,4211,11019
paramiko,87,4013,9025,19245
pybedtools,43,2440,3987,9980
